ShilohScott Station,College Station,Belleville Station,Swansea Station,Memorial Hospital Station,Fairview Heights Station,Washington Park Station,JJK Center Station,Emerson Park Station,5th & Missouri Station,East Riverfront Station,Laclede's Landing Station,Convention Center Station,8th & Pine Station,Stadium Station,Civic Center Station,Union Station,Grand Station,Cortex Station,Central West End Station,Forest ParkDeBaliviere Station,Skinker Station,University CityBig Bend Station,Forsyth Station,Clayton Station,Richmond Heights Station,Brentwood I64 Station,MaplewoodManchester Station,Sunnen Station,ShrewsburyLansdowne I44 Station,Delmar Loop Station,Wellston Station,Rock Road Station,UMSL South Station,UMSL North Station,North Hanley Station,Lambert Airport Terminal # 2,Lambert Airport Terminal # 1
12:03PR,12:08PR,12:13PR,12:15PR,12:19PR,12:23PR,12:28PR,12:31PR,12:33PR,12:36PR,12:39PR,12:40PR,12:41PR,12:43PR,12:44PR,12:46PR,12:47PR,12:51PR,12:53PR,12:55PR,12:58PR,,,,,,,,,,1:01PR,1:03PR,1:05PR,1:07PR,1:09PR,1:11PR,1:16PR,1:18PR
,,,,,12:32PB,12:37PB,12:40PB,12:42PB,12:45PB,12:48PB,12:49PB,12:50PB,12:52PB,12:53PB,12:55PB,12:56PB,1:00PB,1:02PB,1:04PB,1:07PB,1:11PB,1:14PB,1:17PB,1:18PB,1:20PB,1:22PB,1:24PB,1:25PB,1:28PB,,,,,,,,
12:23PR,12:28PR,12:33PR,12:35PR,12:39PR,12:43PR,12:48PR,12:51PR,12:53PR,12:56PR,12:59PR,1:00PR,1:01PR,1:03PR,1:04PR,1:06PR,1:07PR,1:11PR,1:13PR,1:15PR,1:18PR,,,,,,,,,,1:21PR,1:23PR,1:25PR,1:27PR,1:29PR,1:31PR,1:36PR,1:38PR
,,,,,12:52PB,12:57PB,1:00PB,1:02PB,1:05PB,1:08PB,1:09PB,1:10PB,1:12PB,1:13PB,1:15PB,1:16PB,1:20PB,1:22PB,1:24PB,1:27PB,1:31PB,1:34PB,1:37PB,1:38PB,1:40PB,1:42PB,1:44PB,1:45PB,1:48PB,,,,,,,,
12:43PR,12:48PR,12:53PR,12:55PR,12:59PR,1:03PR,1:08PR,1:11PR,1:13PR,1:16PR,1:19PR,1:20PR,1:21PR,1:23PR,1:24PR,1:26PR,1:27PR,1:31PR,1:33PR,1:35PR,1:38PR,,,,,,,,,,1:41PR,1:43PR,1:45PR,1:47PR,1:49PR,1:51PR,1:56PR,1:58PR
,,,,,1:12PB,1:17PB,1:20PB,1:22PB,1:25PB,1:28PB,1:29PB,1:30PB,1:32PB,1:33PB,1:35PB,1:36PB,1:40PB,1:42PB,1:44PB,1:47PB,1:51PB,1:54PB,1:57PB,1:58PB,2:00PB,2:02PB,2:04PB,2:05PB,2:08PB,,,,,,,,
1:03PR,1:08PR,1:13PR,1:15PR,1:19PR,1:23PR,1:28PR,1:31PR,1:33PR,1:36PR,1:39PR,1:40PR,1:41PR,1:43PR,1:44PR,1:46PR,1:47PR,1:51PR,1:53PR,1:55PR,1:58PR,,,,,,,,,,2:01PR,2:03PR,2:05PR,2:07PR,2:09PR,2:11PR,2:16PR,2:18PR
,,,,,1:32PB,1:37PB,1:40PB,1:42PB,1:45PB,1:48PB,1:49PB,1:50PB,1:52PB,1:53PB,1:55PB,1:56PB,2:00PB,2:02PB,2:04PB,2:07PB,2:11PB,2:14PB,2:17PB,2:18PB,2:20PB,2:22PB,2:24PB,2:25PB,2:28PB,,,,,,,,
1:23PR,1:28PR,1:33PR,1:35PR,1:39PR,1:43PR,1:48PR,1:51PR,1:53PR,1:56PR,1:59PR,2:00PR,2:01PR,2:03PR,2:04PR,2:06PR,2:07PR,2:11PR,2:13PR,2:15PR,2:18PR,,,,,,,,,,2:21PR,2:23PR,2:25PR,2:27PR,2:29PR,2:31PR,2:36PR,2:38PR
,,,,,1:52PB,1:57PB,2:00PB,2:02PB,2:05PB,2:08PB,2:09PB,2:10PB,2:12PB,2:13PB,2:15PB,2:16PB,2:20PB,2:22PB,2:24PB,2:27PB,2:31PB,2:34PB,2:37PB,2:38PB,2:40PB,2:42PB,2:44PB,2:45PB,2:48PB,,,,,,,,
1:43PR,1:48PR,1:53PR,1:55PR,1:59PR,2:03PR,2:08PR,2:11PR,2:13PR,2:16PR,2:19PR,2:20PR,2:21PR,2:23PR,2:24PR,2:26PR,2:27PR,2:31PR,2:33PR,2:35PR,2:38PR,,,,,,,,,,2:41PR,2:43PR,2:45PR,2:47PR,2:49PR,2:51PR,2:56PR,2:58PR
,,,,,2:12PB,2:17PB,2:20PB,2:22PB,2:25PB,2:28PB,2:29PB,2:30PB,2:32PB,2:33PB,2:35PB,2:36PB,2:40PB,2:42PB,2:44PB,2:47PB,2:51PB,2:54PB,2:57PB,2:58PB,3:00PB,3:02PB,3:04PB,3:05PB,3:08PB,,,,,,,,
2:03PR,2:08PR,2:13PR,2:15PR,2:19PR,2:23PR,2:28PR,2:31PR,2:33PR,2:36PR,2:39PR,2:40PR,2:41PR,2:43PR,2:44PR,2:46PR,2:47PR,2:51PR,2:53PR,2:55PR,2:58PR,,,,,,,,,,3:01PR,3:03PR,3:05PR,3:07PR,3:09PR,3:11PR,3:16PR,3:18PR
,,,,,2:32PB,2:37PB,2:40PB,2:42PB,2:45PB,2:48PB,2:49PB,2:50PB,2:52PB,2:53PB,2:55PB,2:56PB,3:00PB,3:02PB,3:04PB,3:07PB,3:11PB,3:14PB,3:17PB,3:18PB,3:20PB,3:22PB,3:24PB,3:25PB,3:28PB,,,,,,,,
2:23PR,2:28PR,2:33PR,2:35PR,2:39PR,2:43PR,2:48PR,2:51PR,2:53PR,2:56PR,2:59PR,3:00PR,3:01PR,3:03PR,3:04PR,3:06PR,3:07PR,3:11PR,3:13PR,3:15PR,3:18PR,,,,,,,,,,3:21PR,3:23PR,3:25PR,3:27PR,3:29PR,3:31PR,3:36PR,3:38PR
,,,,,2:52PB,2:57PB,3:00PB,3:02PB,3:05PB,3:08PB,3:09PB,3:10PB,3:12PB,3:13PB,3:15PB,3:16PB,3:20PB,3:22PB,3:24PB,3:27PB,3:31PB,3:34PB,3:37PB,3:38PB,3:40PB,3:42PB,3:44PB,3:45PB,3:48PB,,,,,,,,
2:43PR,2:48PR,2:53PR,2:55PR,2:59PR,3:03PR,3:08PR,3:11PR,3:13PR,3:16PR,3:19PR,3:20PR,3:21PR,3:23PR,3:24PR,3:26PR,3:27PR,3:31PR,3:33PR,3:35PR,3:38PR,,,,,,,,,,3:41PR,3:43PR,3:45PR,3:47PR,3:49PR,3:51PR,3:56PR,3:58PR
,,,,,3:12PB,3:17PB,3:20PB,3:22PB,3:25PB,3:28PB,3:29PB,3:30PB,3:32PB,3:33PB,3:35PB,3:36PB,3:40PB,3:42PB,3:44PB,3:47PB,3:51PB,3:54PB,3:57PB,3:58PB,4:00PB,4:02PB,4:04PB,4:05PB,4:08PB,,,,,,,,
